"","nGene","nUMI","orig.ident","study_accession_number","total_reads","lane","sample_supplier_name","plate.number","well.position","number.of.cells","exp","treatment","days.after.infection","mouse.number","genotype","tissue","cell.type.1","state","rora","pool","num_processed","num_mapped","percent_mapped","global_fl_mode","robust_fl_mode","total_counts","nGenes","percent.mito","NK","doublet","exon4","exon4_rel","exon4_pos","Rora_exprs","Rora_exprs_pos","Cd4_exprs_pos","Sell_exprs_pos","is_lung","is_spleen","is_MedLN","is_MesLN","res.0.5","ident","inferred_celltype"
"22719_3#163",2350,191565.004009786,NA,"ERP022989",1228934,3,"Th nipo_1183_80",1183,"g9",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,614431,335004,54.5226396454606,1000,102,191565.004009786,2350,0.0473009151481122,1,0,0,0,FALSE,427,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"5","KO","NK"
"22719_3#164",2476,216509.005044089,NA,"ERP022989",1276874,3,"Th nipo_1183_81",1183,"g10",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,638379,356783,55.8888998541619,1000,103,216509.005044089,2476,0.0441238321614135,0,0,0,0,FALSE,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#165",2522,213256.998239374,NA,"ERP022989",1316940,3,"Th nipo_1183_82",1183,"g11",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,658407,371563,56.4336345148214,1000,148,213256.998239374,2522,0.043855367407461,0,0,0,0,FALSE,362,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#166",2159,110843.002458186,NA,"ERP022989",663416,3,"Th nipo_1183_83",1183,"g12",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,331679,177529,53.5243413059012,1000,101,110843.002458186,2159,0.0509086306125521,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#167",2028,153600.003764227,NA,"ERP022989",1107416,3,"Th nipo_1181_84",1181,"h1",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,553666,282902,51.0961482193236,1000,103,153600.003764227,2028,0.0374952665416426,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#168",2463,134241.99219892,NA,"ERP022989",819572,3,"Th nipo_1181_85",1181,"h2",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,409750,192913,47.0806589383771,1000,115,134241.99219892,2463,0.0410264620614317,0,0,0,0,FALSE,367,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#169",2661,80917.9949042775,NA,"ERP022989",507264,3,"Th nipo_1181_86",1181,"h3",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,253607,106990,42.1873213278813,1000,146,80917.9949042774,2661,0.0714760172641251,0,0,0,0,FALSE,55,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#17",3023,154094.378131017,NA,"ERP022989",1468570,3,"Th nipo_1183_6",1183,"a7",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,734234,395357,53.8461852760836,1000,102,154094.378131017,3023,0.0919641068147933,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#170",3008,66482.0011351426,NA,"ERP022989",411044,3,"Th nipo_1181_87",1181,"h4",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,205507,86894,42.2827446267037,1000,138,66482.0011351426,3008,0.0347370647801302,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"7","KO","DCs"
"22719_3#171",2277,153276.012996353,NA,"ERP022989",1163432,3,"Th nipo_1181_88",1181,"h5",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,581673,337887,58.0888231016396,1000,103,153276.012996353,2277,0.0409521579227753,0,0,0,0,FALSE,209,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#174",2135,89091.0088815905,NA,"ERP022989",570736,3,"Th nipo_1181_91",1181,"h8",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,285341,137670,48.2475354050066,1000,137,89091.0088815905,2135,0.0412284028089543,0,0,0,0,FALSE,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#179",2451,185098.000051869,NA,"ERP022989",1158610,3,"Th nipo_1183_84",1183,"h1",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,579259,303393,52.3760528537321,1000,103,185098.000051869,2451,0.0466947400927114,0,0,0,0,FALSE,6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#18",2352,197873.960255596,NA,"ERP022989",1366034,3,"Th nipo_1183_7",1183,"a8",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,682958,370857,54.3015822349251,1000,103,197873.960255596,2352,0.0424345843139436,0,0,0,0,FALSE,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#180",2010,106883.004490261,NA,"ERP022989",800672,3,"Th nipo_1183_85",1183,"h2",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,400310,235375,58.7981814094077,1000,113,106883.004490261,2010,0.0621809555288613,0,0,0,0,FALSE,2.62797e-06,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#181",2328,195942.013003668,NA,"ERP022989",1291458,3,"Th nipo_1183_86",1183,"h3",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,645691,338637,52.445674478969,1000,108,195942.013003668,2328,0.0674601441894576,0,0,0,0,FALSE,114,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
