Cell,Gene,Ct,Call
D0_M1_mes_17_ac,PTPRC,17.46473521,Pass
D0_M1_mes_17_ac,ITGAM,999,Fail
D0_M1_mes_17_ac,ATP5A1,19.87594139,Pass
D0_M1_mes_17_ac,VIPR1,999,Fail
D0_M1_mes_17_ac,TCF7,23.29982899,Pass
D0_M1_mes_17_ac,PTH,999,Fail
D0_M1_mes_17_ac,MYCN,999,Fail
D0_M1_mes_17_ac,IL6,999,Fail
D0_M1_mes_17_ac,IL21,999,Fail
D0_M1_mes_17_ac,IFNGR1,20.7063753,Pass
D0_M1_mes_17_ac,FSHB,999,Fail
D0_M1_mes_17_ac,CXCR6,999,Fail
D0_M1_mes_17_ac,NCAM1,999,Fail
D0_M1_mes_17_ac,ITGAX,999,Fail
D0_M1_mes_17_ac,BATF,999,Fail
D0_M1_mes_17_ac,ZBTB16,999,Fail
D0_M1_mes_17_ac,TCFEC,999,Fail
D0_M1_mes_17_ac,RORA,999,Fail
D0_M1_mes_17_ac,NCF1,999,Fail
D0_M1_mes_17_ac,IL7R,24.81148265,Pass
D0_M1_mes_17_ac,IL23R,999,Fail
D0_M1_mes_17_ac,IL10,999,Fail
D0_M1_mes_17_ac,GATA2,999,Fail
D0_M1_mes_17_ac,CYP11A1,999,Fail
D0_M1_mes_17_ac,SELL,28.5878642,Pass
D0_M1_mes_17_ac,CD19,999,Fail
D0_M1_mes_17_ac,BCL2L11,23.99325384,Pass
D0_M1_mes_17_ac,ZC3H12C,999,Fail
D0_M1_mes_17_ac,TG,999,Fail
D0_M1_mes_17_ac,RORC,999,Fail
D0_M1_mes_17_ac,PHF1,999,Fail
D0_M1_mes_17_ac,IL9,999,Fail
D0_M1_mes_17_ac,IL25R,999,Fail
D0_M1_mes_17_ac,IL12RB2,999,Fail
D0_M1_mes_17_ac,GATA3,999,Fail
D0_M1_mes_17_ac,E2F8,999,Fail
D0_M1_mes_17_ac,CD69,23.22202711,Pass
D0_M1_mes_17_ac,IL2RA,20.2653981,Pass
D0_M1_mes_17_ac,BCL2,999,Fail
D0_M1_mes_17_ac,ZFP36,999,Fail
D0_M1_mes_17_ac,TGFB1,24.10035503,Pass
D0_M1_mes_17_ac,RUNX3,999,Fail
D0_M1_mes_17_ac,POLR2A,21.39887963,Pass
D0_M1_mes_17_ac,IRF8,999,Fail
D0_M1_mes_17_ac,IL27RA,21.90089086,Pass
D0_M1_g_16_nu,ACTN1,999,Fail
D0_M1_g_16_nu,CCR2,999,Fail
D0_M1_g_16_nu,CD33,999,Fail
D0_M1_g_16_nu,CD8A,999,Fail
D0_M1_g_16_nu,EIF2B1,999,Fail
D0_M1_g_16_nu,HBB_B2,999,Fail
D0_M1_g_16_nu,IL13,999,Fail
D0_M1_g_16_nu,IL1RL1_R,999,Fail
D0_M1_g_16_nu,JHM1D,999,Fail
D0_M1_g_16_nu,POU6F1,999,Fail
D0_M1_g_16_nu,SCML4,999,Fail
D0_M1_g_16_nu,TRIB2,999,Fail
D0_M1_g_16_nu,AHR,999,Fail
D0_M1_g_16_nu,CCR5,999,Fail
D0_M1_g_16_nu,CD3E,999,Fail
D0_M1_g_16_nu,CDH17,999,Fail
D0_M1_g_16_nu,EPAS1,999,Fail
D0_M1_g_16_nu,HLX,999,Fail
D0_M1_g_16_nu,IL13RA1,999,Fail
D0_M1_g_16_nu,IL4,999,Fail
D0_M1_g_16_nu,KLRG1,999,Fail
D0_M1_g_16_nu,PPARG,999,Fail
D0_M1_g_16_nu,IL1RL1,999,Fail
D0_M1_g_16_nu,TXK,999,Fail
D0_M1_g_16_nu,ASB2,999,Fail
D0_M1_g_16_nu,CCR8,999,Fail
D0_M1_g_16_nu,CD4,999,Fail
D0_M1_g_16_nu,CTLA4,999,Fail
D0_M1_g_16_nu,FGF18,999,Fail
D0_M1_g_16_nu,HPRT1,21.45341562,Pass
D0_M1_g_16_nu,IL17A,999,Fail
D0_M1_g_16_nu,IL4R,22.33355632,Pass
D0_M1_g_16_nu,MSC,999,Fail
D0_M1_g_16_nu,PRDM1,999,Fail
D0_M1_g_16_nu,SMAD7,999,Fail
D0_M1_g_16_nu,UBC,18.67296058,Pass
D0_M1_g_16_nu,ATF3,999,Fail
D0_M1_g_16_nu,KIT,999,Fail
D0_M1_g_16_nu,CD44,999,Fail
D0_M1_g_16_nu,CXCR3,999,Fail
D0_M1_g_16_nu,FOXP1,19.18671192,Pass
D0_M1_g_16_nu,ICOS,999,Fail
D0_M1_g_16_nu,IL2,999,Fail
D0_M1_g_16_nu,IL5,999,Fail
D0_M1_g_16_nu,MYB,999,Fail
D0_M1_g_16_nu,PTGIR,999,Fail
D0_M1_g_16_nu,TBX21,999,Fail
D0_M1_g_16_nu,VDR,999,Fail
D0_M1_g_16_nu,IFNG,999,Fail
D0_M1_g_16_nu,FOXP3,999,Fail
D0_M1_g_16_nu,CXCR5,23.13051224,Pass
D0_M1_g_16_nu,PTPRC,16.89795855,Pass
D0_M1_g_16_nu,ITGAM,999,Fail
D0_M1_g_16_nu,ATP5A1,20.5309509,Pass
D0_M1_g_16_nu,VIPR1,999,Fail
D0_M1_g_16_nu,TCF7,999,Fail
D0_M1_g_16_nu,PTH,999,Fail
D0_M1_g_16_nu,MYCN,999,Fail
D0_M1_g_16_nu,IL6,999,Fail
D0_M1_g_16_nu,IL21,999,Fail
D0_M1_g_16_nu,IFNGR1,21.85103126,Pass
D0_M1_g_16_nu,FSHB,999,Fail
D0_M1_g_16_nu,CXCR6,999,Fail
D0_M1_g_16_nu,NCAM1,999,Fail
D0_M1_g_16_nu,ITGAX,999,Fail
D0_M1_g_16_nu,BATF,999,Fail
D0_M1_g_16_nu,ZBTB16,999,Fail
D0_M1_g_16_nu,TCFEC,999,Fail
D0_M1_g_16_nu,RORA,999,Fail
D0_M1_g_16_nu,NCF1,999,Fail
D0_M1_g_16_nu,IL7R,999,Fail
D0_M1_g_16_nu,IL23R,999,Fail
D0_M1_g_16_nu,IL10,999,Fail
D0_M1_g_16_nu,GATA2,999,Fail
D0_M1_g_16_nu,CYP11A1,999,Fail
D0_M1_g_16_nu,SELL,999,Fail
D0_M1_g_16_nu,CD19,24.31027468,Pass
D0_M1_g_16_nu,BCL2L11,999,Fail
D0_M1_g_16_nu,ZC3H12C,999,Fail
D0_M1_g_16_nu,TG,999,Fail
D0_M1_g_16_nu,RORC,999,Fail
D0_M1_g_16_nu,PHF1,999,Fail
D0_M1_g_16_nu,IL9,999,Fail
D0_M1_g_16_nu,IL25R,999,Fail
D0_M1_g_16_nu,IL12RB2,999,Fail
D0_M1_g_16_nu,GATA3,999,Fail
D0_M1_g_16_nu,E2F8,999,Fail
D0_M1_g_16_nu,CD69,22.81992455,Pass
D0_M1_g_16_nu,IL2RA,999,Fail
D0_M1_g_16_nu,BCL2,999,Fail
D0_M1_g_16_nu,ZFP36,17.85552591,Pass
D0_M1_g_16_nu,TGFB1,23.25054134,Pass
D0_M1_g_16_nu,RUNX3,999,Fail
D0_M1_g_16_nu,POLR2A,21.91697405,Pass
D0_M1_g_16_nu,IRF8,19.77483547,Pass
D0_M1_g_16_nu,IL27RA,999,Fail
D0_M1_mes_9_nv_ev,ACTN1,25.35856916,Pass
D0_M1_mes_9_nv_ev,CCR2,999,Fail
D0_M1_mes_9_nv_ev,CD33,999,Fail
D0_M1_mes_9_nv_ev,CD8A,999,Fail
D0_M1_mes_9_nv_ev,EIF2B1,999,Fail
D0_M1_mes_9_nv_ev,HBB_B2,999,Fail
D0_M1_mes_9_nv_ev,IL13,999,Fail
D0_M1_mes_9_nv_ev,IL1RL1_R,999,Fail
D0_M1_mes_9_nv_ev,JHM1D,999,Fail
D0_M1_mes_9_nv_ev,POU6F1,999,Fail
D0_M1_mes_9_nv_ev,SCML4,28.24482105,Fail
D0_M1_mes_9_nv_ev,TRIB2,999,Fail
D0_M1_mes_9_nv_ev,AHR,999,Fail
D0_M1_mes_9_nv_ev,CCR5,999,Fail
D0_M1_mes_9_nv_ev,CD3E,999,Fail
D0_M1_mes_9_nv_ev,CDH17,999,Fail
D0_M1_mes_9_nv_ev,EPAS1,999,Fail
D0_M1_mes_9_nv_ev,HLX,999,Fail
D0_M1_mes_9_nv_ev,IL13RA1,999,Fail
D0_M1_mes_9_nv_ev,IL4,999,Fail
D0_M1_mes_9_nv_ev,KLRG1,999,Fail
D0_M1_mes_9_nv_ev,PPARG,999,Fail
D0_M1_mes_9_nv_ev,IL1RL1,999,Fail
D0_M1_mes_9_nv_ev,TXK,25.72026944,Pass
D0_M1_mes_9_nv_ev,ASB2,999,Fail
D0_M1_mes_9_nv_ev,CCR8,999,Fail
D0_M1_mes_9_nv_ev,CD4,25.97445712,Pass
D0_M1_mes_9_nv_ev,CTLA4,999,Fail
D0_M1_mes_9_nv_ev,FGF18,999,Fail
D0_M1_mes_9_nv_ev,HPRT1,999,Fail
D0_M1_mes_9_nv_ev,IL17A,999,Fail
D0_M1_mes_9_nv_ev,IL4R,24.06769622,Pass
D0_M1_mes_9_nv_ev,MSC,999,Fail
D0_M1_mes_9_nv_ev,PRDM1,999,Fail
D0_M1_mes_9_nv_ev,SMAD7,999,Fail
D0_M1_mes_9_nv_ev,UBC,27.54076023,Pass
D0_M1_mes_9_nv_ev,ATF3,999,Fail
D0_M1_mes_9_nv_ev,KIT,999,Fail
D0_M1_mes_9_nv_ev,CD44,999,Fail
D0_M1_mes_9_nv_ev,CXCR3,999,Fail
D0_M1_mes_9_nv_ev,FOXP1,23.57734214,Pass
D0_M1_mes_9_nv_ev,ICOS,999,Fail
D0_M1_mes_9_nv_ev,IL2,999,Fail
D0_M1_mes_9_nv_ev,IL5,999,Fail
D0_M1_mes_9_nv_ev,MYB,999,Fail
D0_M1_mes_9_nv_ev,PTGIR,999,Fail
D0_M1_mes_9_nv_ev,TBX21,999,Fail
D0_M1_mes_9_nv_ev,VDR,999,Fail
D0_M1_mes_9_nv_ev,IFNG,999,Fail
D0_M1_mes_9_nv_ev,FOXP3,999,Fail
D0_M1_mes_9_nv_ev,CXCR5,999,Fail
D0_M1_mes_9_nv_ev,PTPRC,22.67036713,Pass
D0_M1_mes_9_nv_ev,ITGAM,999,Fail
D0_M1_mes_9_nv_ev,ATP5A1,999,Fail
D0_M1_mes_9_nv_ev,VIPR1,999,Fail
D0_M1_mes_9_nv_ev,TCF7,29.56915633,Pass
D0_M1_mes_9_nv_ev,PTH,999,Fail
D0_M1_mes_9_nv_ev,MYCN,999,Fail
D0_M1_mes_9_nv_ev,IL6,999,Fail
D0_M1_mes_9_nv_ev,IL21,999,Fail
D0_M1_mes_9_nv_ev,IFNGR1,28.64585667,Pass
D0_M1_mes_9_nv_ev,FSHB,999,Fail
D0_M1_mes_9_nv_ev,CXCR6,999,Fail
D0_M1_mes_9_nv_ev,NCAM1,999,Fail
D0_M1_mes_9_nv_ev,ITGAX,999,Fail
D0_M1_mes_9_nv_ev,BATF,999,Fail
D0_M1_mes_9_nv_ev,ZBTB16,999,Fail
D0_M1_mes_9_nv_ev,TCFEC,999,Fail
D0_M1_mes_9_nv_ev,RORA,999,Fail
D0_M1_mes_9_nv_ev,NCF1,999,Fail
D0_M1_mes_9_nv_ev,IL7R,999,Fail
D0_M1_mes_9_nv_ev,IL23R,999,Fail
D0_M1_mes_9_nv_ev,IL10,999,Fail
D0_M1_mes_9_nv_ev,GATA2,999,Fail
D0_M1_mes_9_nv_ev,CYP11A1,999,Fail
D0_M1_mes_9_nv_ev,SELL,999,Fail
D0_M1_mes_9_nv_ev,CD19,999,Fail
D0_M1_mes_9_nv_ev,BCL2L11,999,Fail
D0_M1_mes_9_nv_ev,ZC3H12C,999,Fail
D0_M1_mes_9_nv_ev,TG,999,Fail
D0_M1_mes_9_nv_ev,RORC,999,Fail
D0_M1_mes_9_nv_ev,PHF1,999,Fail
D0_M1_mes_9_nv_ev,IL9,999,Fail
D0_M1_mes_9_nv_ev,IL25R,999,Fail
D0_M1_mes_9_nv_ev,IL12RB2,999,Fail
D0_M1_mes_9_nv_ev,GATA3,23.79807076,Pass
D0_M1_mes_9_nv_ev,E2F8,999,Fail
D0_M1_mes_9_nv_ev,CD69,999,Fail
D0_M1_mes_9_nv_ev,IL2RA,999,Fail
D0_M1_mes_9_nv_ev,BCL2,999,Fail
D0_M1_mes_9_nv_ev,ZFP36,22.88538975,Pass
D0_M1_mes_9_nv_ev,TGFB1,31.67314257,Pass
D0_M1_mes_9_nv_ev,RUNX3,999,Fail
D0_M1_mes_9_nv_ev,POLR2A,999,Fail
D0_M1_mes_9_nv_ev,IRF8,999,Fail
D0_M1_mes_9_nv_ev,IL27RA,999,Fail
D0_M1_g_8_nu,ACTN1,999,Fail
D0_M1_g_8_nu,CCR2,999,Fail
D0_M1_g_8_nu,CD33,999,Fail
D0_M1_g_8_nu,CD8A,999,Fail
D0_M1_g_8_nu,EIF2B1,21.82207758,Pass
D0_M1_g_8_nu,HBB_B2,999,Fail
D0_M1_g_8_nu,IL13,999,Fail
D0_M1_g_8_nu,IL1RL1_R,999,Fail
D0_M1_g_8_nu,JHM1D,999,Fail
D0_M1_g_8_nu,POU6F1,23.48637275,Pass
D0_M1_g_8_nu,SCML4,999,Fail
D0_M1_g_8_nu,TRIB2,999,Fail
D0_M1_g_8_nu,AHR,20.16728103,Pass
D0_M1_g_8_nu,CCR5,23.76926076,Pass
D0_M1_g_8_nu,CD3E,999,Fail
D0_M1_g_8_nu,CDH17,999,Fail
D0_M1_g_8_nu,EPAS1,999,Fail
D0_M1_g_8_nu,HLX,999,Fail
D0_M1_g_8_nu,IL13RA1,999,Fail
D0_M1_g_8_nu,IL4,999,Fail
D0_M1_g_8_nu,KLRG1,999,Fail
D0_M1_g_8_nu,PPARG,999,Fail
D0_M1_g_8_nu,IL1RL1,999,Fail
D0_M1_g_8_nu,TXK,22.41129328,Pass
D0_M1_g_8_nu,ASB2,999,Fail
D0_M1_g_8_nu,CCR8,999,Fail
D0_M1_g_8_nu,CD4,999,Fail
D0_M1_g_8_nu,CTLA4,999,Fail
D0_M1_g_8_nu,FGF18,999,Fail
D0_M1_g_8_nu,HPRT1,999,Fail
D0_M1_g_8_nu,IL17A,999,Fail
D0_M1_g_8_nu,IL4R,21.90319618,Pass
D0_M1_g_8_nu,MSC,999,Fail
D0_M1_g_8_nu,PRDM1,999,Fail
D0_M1_g_8_nu,SMAD7,999,Fail
D0_M1_g_8_nu,UBC,17.08000623,Pass
D0_M1_g_8_nu,ATF3,999,Fail
D0_M1_g_8_nu,KIT,999,Fail
D0_M1_g_8_nu,CD44,999,Fail
D0_M1_g_8_nu,CXCR3,999,Fail
D0_M1_g_8_nu,FOXP1,19.61771753,Pass
D0_M1_g_8_nu,ICOS,999,Fail
D0_M1_g_8_nu,IL2,999,Fail
D0_M1_g_8_nu,IL5,999,Fail
D0_M1_g_8_nu,MYB,999,Fail
D0_M1_g_8_nu,PTGIR,999,Fail
D0_M1_g_8_nu,TBX21,999,Fail
D0_M1_g_8_nu,VDR,999,Fail
D0_M1_g_8_nu,IFNG,999,Fail
D0_M1_g_8_nu,FOXP3,999,Fail
D0_M1_g_8_nu,CXCR5,17.74213322,Pass
D0_M1_g_8_nu,PTPRC,18.66042835,Pass
D0_M1_g_8_nu,ITGAM,999,Fail
D0_M1_g_8_nu,ATP5A1,999,Fail
D0_M1_g_8_nu,VIPR1,999,Fail
D0_M1_g_8_nu,TCF7,999,Fail
D0_M1_g_8_nu,PTH,999,Fail
D0_M1_g_8_nu,MYCN,999,Fail
D0_M1_g_8_nu,IL6,999,Fail
D0_M1_g_8_nu,IL21,999,Fail
D0_M1_g_8_nu,IFNGR1,22.01393375,Pass
D0_M1_g_8_nu,FSHB,999,Fail
D0_M1_g_8_nu,CXCR6,999,Fail
D0_M1_g_8_nu,NCAM1,999,Fail
D0_M1_g_8_nu,ITGAX,999,Fail
D0_M1_g_8_nu,BATF,999,Fail
D0_M1_g_8_nu,ZBTB16,999,Fail
D0_M1_g_8_nu,TCFEC,999,Fail
D0_M1_g_8_nu,RORA,999,Fail
D0_M1_g_8_nu,NCF1,21.67111413,Pass
D0_M1_g_8_nu,IL7R,999,Fail
D0_M1_g_8_nu,IL23R,999,Fail
D0_M1_g_8_nu,IL10,999,Fail
D0_M1_g_8_nu,GATA2,999,Fail
D0_M1_g_8_nu,CYP11A1,999,Fail
D0_M1_g_8_nu,SELL,19.39921689,Pass
D0_M1_g_8_nu,CD19,999,Fail
D0_M1_g_8_nu,BCL2L11,999,Fail
D0_M1_g_8_nu,ZC3H12C,999,Fail
D0_M1_g_8_nu,TG,999,Fail
D0_M1_g_8_nu,RORC,999,Fail
D0_M1_g_8_nu,PHF1,999,Fail
D0_M1_g_8_nu,IL9,999,Fail
D0_M1_g_8_nu,IL25R,999,Fail
D0_M1_g_8_nu,IL12RB2,999,Fail
D0_M1_g_8_nu,GATA3,999,Fail
D0_M1_g_8_nu,E2F8,999,Fail
D0_M1_g_8_nu,CD69,22.49898591,Pass
D0_M1_g_8_nu,IL2RA,999,Fail
D0_M1_g_8_nu,BCL2,999,Fail
D0_M1_g_8_nu,ZFP36,20.04572538,Pass
D0_M1_g_8_nu,TGFB1,20.02523353,Pass
D0_M1_g_8_nu,RUNX3,999,Fail
D0_M1_g_8_nu,POLR2A,20.9158703,Pass
D0_M1_g_8_nu,IRF8,20.85354826,Pass
D0_M1_g_8_nu,IL27RA,999,Fail
D0_M1_mes_1_nu,ACTN1,999,Fail
D0_M1_mes_1_nu,CCR2,999,Fail
D0_M1_mes_1_nu,CD33,999,Fail
D0_M1_mes_1_nu,CD8A,999,Fail
D0_M1_mes_1_nu,EIF2B1,999,Fail
D0_M1_mes_1_nu,HBB_B2,999,Fail
D0_M1_mes_1_nu,IL13,999,Fail
D0_M1_mes_1_nu,IL1RL1_R,999,Fail
D0_M1_mes_1_nu,JHM1D,999,Fail
D0_M1_mes_1_nu,POU6F1,999,Fail
D0_M1_mes_1_nu,SCML4,999,Fail
D0_M1_mes_1_nu,TRIB2,999,Fail
D0_M1_mes_1_nu,AHR,999,Fail
D0_M1_mes_1_nu,CCR5,999,Fail
D0_M1_mes_1_nu,CD3E,999,Fail
D0_M1_mes_1_nu,CDH17,999,Fail
D0_M1_mes_1_nu,EPAS1,999,Fail
D0_M1_mes_1_nu,HLX,999,Fail
D0_M1_mes_1_nu,IL13RA1,999,Fail
D0_M1_mes_1_nu,IL4,999,Fail
D0_M1_mes_1_nu,KLRG1,999,Fail
D0_M1_mes_1_nu,PPARG,999,Fail
D0_M1_mes_1_nu,IL1RL1,999,Fail
D0_M1_mes_1_nu,TXK,999,Fail
D0_M1_mes_1_nu,ASB2,999,Fail
D0_M1_mes_1_nu,CCR8,24.95744208,Fail
D0_M1_mes_1_nu,CD4,999,Fail
D0_M1_mes_1_nu,CTLA4,999,Fail
D0_M1_mes_1_nu,FGF18,999,Fail
D0_M1_mes_1_nu,HPRT1,999,Fail
D0_M1_mes_1_nu,IL17A,999,Fail
D0_M1_mes_1_nu,IL4R,999,Fail
D0_M1_mes_1_nu,MSC,999,Fail
D0_M1_mes_1_nu,PRDM1,999,Fail
D0_M1_mes_1_nu,SMAD7,999,Fail
D0_M1_mes_1_nu,UBC,999,Fail
D0_M1_mes_1_nu,ATF3,999,Fail
D0_M1_mes_1_nu,KIT,999,Fail
D0_M1_mes_1_nu,CD44,999,Fail
D0_M1_mes_1_nu,CXCR3,999,Fail
D0_M1_mes_1_nu,FOXP1,999,Fail
D0_M1_mes_1_nu,ICOS,999,Fail
D0_M1_mes_1_nu,IL2,999,Fail
D0_M1_mes_1_nu,IL5,999,Fail
D0_M1_mes_1_nu,MYB,999,Fail
D0_M1_mes_1_nu,PTGIR,999,Fail
D0_M1_mes_1_nu,TBX21,999,Fail
D0_M1_mes_1_nu,VDR,999,Fail
D0_M1_mes_1_nu,IFNG,20.26961536,Fail
D0_M1_mes_1_nu,FOXP3,999,Fail
D0_M1_mes_1_nu,CXCR5,999,Fail
D0_M1_mes_1_nu,PTPRC,22.25957879,Fail
D0_M1_mes_1_nu,ITGAM,999,Fail
D0_M1_mes_1_nu,ATP5A1,999,Fail
D0_M1_mes_1_nu,VIPR1,999,Fail
D0_M1_mes_1_nu,TCF7,999,Fail
D0_M1_mes_1_nu,PTH,17.73723268,Fail
D0_M1_mes_1_nu,MYCN,999,Fail
D0_M1_mes_1_nu,IL6,999,Fail
D0_M1_mes_1_nu,IL21,24.21653529,Fail
D0_M1_mes_1_nu,IFNGR1,999,Fail
D0_M1_mes_1_nu,FSHB,999,Fail
D0_M1_mes_1_nu,CXCR6,999,Fail
D0_M1_mes_1_nu,NCAM1,999,Fail
D0_M1_mes_1_nu,ITGAX,999,Fail
D0_M1_mes_1_nu,BATF,999,Fail
D0_M1_mes_1_nu,ZBTB16,999,Fail
D0_M1_mes_1_nu,TCFEC,999,Fail
D0_M1_mes_1_nu,RORA,999,Fail
D0_M1_mes_1_nu,NCF1,999,Fail
D0_M1_mes_1_nu,IL7R,999,Fail
D0_M1_mes_1_nu,IL23R,999,Fail
D0_M1_mes_1_nu,IL10,999,Fail
D0_M1_mes_1_nu,GATA2,999,Fail
D0_M1_mes_1_nu,CYP11A1,999,Fail
D0_M1_mes_1_nu,SELL,999,Fail
D0_M1_mes_1_nu,CD19,999,Fail
D0_M1_mes_1_nu,BCL2L11,999,Fail
D0_M1_mes_1_nu,ZC3H12C,999,Fail
D0_M1_mes_1_nu,TG,999,Fail
D0_M1_mes_1_nu,RORC,999,Fail
D0_M1_mes_1_nu,PHF1,999,Fail
D0_M1_mes_1_nu,IL9,999,Fail
D0_M1_mes_1_nu,IL25R,999,Fail
D0_M1_mes_1_nu,IL12RB2,999,Fail
D0_M1_mes_1_nu,GATA3,999,Fail
D0_M1_mes_1_nu,E2F8,999,Fail
D0_M1_mes_1_nu,CD69,999,Fail
D0_M1_mes_1_nu,IL2RA,17.10510582,Fail
D0_M1_mes_1_nu,BCL2,999,Fail
D0_M1_mes_1_nu,ZFP36,999,Fail
D0_M1_mes_1_nu,TGFB1,999,Fail
D0_M1_mes_1_nu,RUNX3,20.11747175,Pass
D0_M1_mes_1_nu,POLR2A,999,Fail
D0_M1_mes_1_nu,IRF8,999,Fail
D0_M1_mes_1_nu,IL27RA,999,Fail
0-3,ACTN1,999,Fail
0-3,CCR2,999,Fail
0-3,CD33,999,Fail
0-3,CD8A,999,Fail
0-3,EIF2B1,999,Fail
0-3,HBB_B2,999,Fail
