	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
Khdc3	78	37	41	26	31	111	3	4	23	93	54	81	49	66	73
Khdrbs1	5235	4744	5304	5061	5595	6721	6389	7016	7439	6277	5642	7032	5778	3547	3914
Khdrbs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs3	0	1	5	1	0	0	2	0	0	0	0	1	0	0	0
Khk	103	98	95	77	70	78	325	348	256	116	56	103	55	97	58
Khnyn	586	626	685	747	945	1201	1122	1105	1455	825	1287	1076	1160	406	629
Khsrp	450	435	511	605	569	584	427	415	733	662	649	535	469	564	407
Kidins220	605	440	366	799	1107	1214	753	871	1184	472	614	668	982	891	629
Kif11	777	489	542	798	532	680	527	702	2568	774	774	696	525	423	605
Kif12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif13a	70	65	94	41	261	122	88	65	109	194	162	96	95	198	199
Kif13b	306	167	283	367	657	573	188	188	304	427	306	327	530	386	306
Kif14	46	24	6	22	26	34	19	6	124	55	4	13	8	0	6
Kif15	303	189	130	251	205	302	344	428	1193	90	283	144	134	88	149
Kif16b	292	248	244	387	758	481	689	846	816	269	314	415	459	357	407
Kif17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Kif18a	126	182	110	120	49	87	199	343	499	142	205	155	136	88	86
Kif18b	125	79	78	102	119	119	139	222	832	172	172	148	41	40	67
Kif19a	34	39	18	17	5	3	6	3	11	29	18	34	4	8	2
Kif1a	0	5	9	21	0	0	0	0	6	0	0	0	0	0	0
Kif1b	561	677	582	953	1188	941	855	595	894	935	1192	501	916	1091	739
Kif1c	74	67	57	67	152	71	69	35	62	41	167	63	79	32	55
Kif20a	202	86	125	247	43	129	458	617	1744	134	219	190	60	4	95
Kif20b	275	309	307	494	210	239	526	711	1494	247	243	227	282	157	311
Kif21a	0	0	3	5	0	0	4	0	0	71	37	14	2	0	5
Kif21b	767	762	611	564	848	829	1551	1376	1970	777	803	774	818	1316	515
Kif22	637	598	634	912	357	495	570	797	2316	721	965	661	342	653	317
Kif23	6170	5148	4582	4451	5252	5786	352	499	1283	6424	5067	6682	3526	3525	2492
Kif24	15	8	14	16	11	26	53	33	107	23	15	29	17	67	24
Kif26a	0	1	0	0	5	0	0	0	0	11	1	0	0	0	1
Kif26b	0	0	0	0	0	0	0	0	3	0	0	6	0	0	15
Kif27	0	0	3	9	0	0	0	0	0	0	19	1	1	0	33
Kif2a	687	523	442	578	557	687	426	387	487	684	756	585	506	758	512
Kif2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif2c	114	61	115	158	25	49	239	284	871	71	171	98	68	7	74
Kif3a	638	510	516	887	1000	853	250	296	303	577	880	580	865	947	668
Kif3b	609	460	372	593	461	569	884	849	1197	544	573	455	416	466	180
Kif3c	99	68	135	169	247	212	262	305	279	218	279	182	343	164	195
Kif4	156	134	118	223	207	89	205	235	907	121	234	143	171	117	286
Kif4-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif5a	4	1	5	23	4	36	4	5	21	4	10	14	49	13	21
Kif5b	7599	6240	5869	7494	8101	8967	5464	5583	5648	7606	7253	7633	7381	8081	6440
Kif5c	308	202	212	197	216	239	122	185	219	377	163	303	232	249	156
Kif6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif7	12	7	24	22	14	45	16	7	20	6	67	4	0	10	11
Kif9	4	3	3	7	2	0	12	26	37	64	1	2	6	0	3
Kifap3	182	124	116	211	184	239	181	194	295	133	181	121	183	216	103
Kifc1	29	46	51	47	53	7	124	121	153	95	80	37	50	36	15
Kifc2	135	142	148	157	185	214	258	266	396	238	179	195	249	267	120
Kifc3	5	2	5	26	45	0	13	29	29	0	1	22	2	0	14
Kifc5b	2	5	11	17	11	1	22	24	61	14	8	20	25	1	18
Kin	1715	1422	1360	1944	1826	2010	962	1078	974	1685	1705	1726	1670	2400	1349
Kir3dl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kir3dl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kirrel	0	0	7	2	1	0	0	0	0	3	1	15	0	0	1
Kirrel2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Kirrel3	1	1	0	0	0	1	0	1	2	0	2	1	0	6	1
Kis2	0	1	0	0	0	11	1	2	1	0	0	1	0	9	0
Kiss1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiss1r	1	13	24	3	7	0	2	36	10	6	5	13	5	0	8
Kit	140	134	206	437	425	277	52	68	99	210	361	339	410	186	470
Kitl	56	38	107	229	231	162	0	0	7	52	79	67	87	111	53
Kiz	310	223	263	225	319	244	567	857	636	153	341	309	251	280	254
Kl	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0
Klb	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Klc1	860	974	909	998	977	1150	1546	1781	1595	1073	1457	1399	1129	862	691
Klc2	40	88	61	58	60	131	80	83	118	116	102	92	93	93	50
Klc3	118	126	123	134	154	141	423	538	430	101	124	153	260	139	156
Klc4	466	341	323	388	355	604	674	774	635	471	446	566	447	539	325
Klf1	1	0	7	3	3	6	0	0	6	0	1	8	2	0	0
Klf10	3313	2829	3010	4361	5884	7269	1284	1788	2272	3689	4966	4443	5524	4444	3816
Klf11	766	742	623	1149	1764	2359	72	192	377	742	713	723	1537	1107	1184
Klf12	162	113	123	270	193	209	43	40	31	96	122	165	248	211	107
Klf13	3925	5375	5893	5768	8112	7760	4798	4828	3264	4942	6178	3508	5175	6633	3836
Klf14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Klf15	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0
Klf16	236	267	367	543	860	691	150	99	92	298	471	146	508	753	207
Klf17	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0
Klf2	2233	2220	2827	3371	5592	5938	6992	4378	4750	2626	2527	1458	3629	4391	2310
Klf3	1620	1719	1614	758	961	1040	3332	2906	2775	2001	1616	1556	782	848	862
Klf4	1197	446	627	2595	2869	3282	3	9	19	855	906	627	2830	5319	1671
Klf5	33	18	78	198	239	172	0	0	3	134	51	88	287	148	141
Klf6	23058	11655	12794	31793	37206	44533	4904	5697	4592	20009	14373	15673	38788	36718	33044
Klf7	417	354	391	341	353	219	677	955	498	413	427	518	256	513	393
Klf8	171	79	144	321	386	303	21	26	39	96	193	198	430	242	164
Klf9	134	111	214	442	926	993	118	55	101	229	287	108	936	918	442
Klhdc1	186	181	136	30	57	94	503	576	441	120	111	172	60	48	68
Klhdc10	223	264	271	334	367	215	205	155	175	280	370	216	258	310	173
Klhdc2	2213	3318	3088	1037	598	992	1267	1056	1695	2820	2451	1441	684	598	477
Klhdc3	3760	3623	3807	3749	3813	3942	2026	2262	2287	5373	5597	5589	4019	4992	3566
Klhdc4	950	740	947	1194	805	1528	1424	1588	1807	1176	1137	1054	952	1478	969
Klhdc7a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc7b	0	0	0	2	0	0	1	2	2	0	1	0	0	0	7
Klhdc8a	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
Klhdc8b	31	28	30	6	38	91	24	28	51	59	66	49	39	59	69
Klhdc9	52	44	51	97	43	52	129	136	79	63	70	60	61	41	51
Klhl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl10	0	0	4	0	3	0	9	5	4	4	5	3	6	0	0
Klhl11	236	158	172	227	256	362	95	108	122	214	217	270	369	138	173
Klhl12	372	390	254	360	567	335	666	687	734	393	645	429	455	328	399
