"","well","treatment","libraryid","plate","libraryname","mouse","total_reads","gene_count","filename1","filename2"
"188","D8","our_il4",44,1,"samp_44",1,224676.140358482,224676,"s44_S44_L001_R1_001.fastq.gz","s44_S44_L002_R1_001.fastq.gz"
"192","D9","5",45,1,"samp_45",1,197133.953975699,197133,"s45_S45_L001_R1_001.fastq.gz","s45_S45_L002_R1_001.fastq.gz"
"152","D10","mIL6",46,1,"samp_46",1,286390.934814696,286390,"s46_S46_L001_R1_001.fastq.gz","s46_S46_L002_R1_001.fastq.gz"
"194","E1","wt",49,1,"samp_49",1,440168.054564206,440168,"s49_S49_L001_R1_001.fastq.gz","s49_S49_L002_R1_001.fastq.gz"
"212","E2","wt",50,1,"samp_50",1,156612.152669323,156612,"s50_S50_L001_R1_001.fastq.gz","s50_S50_L002_R1_001.fastq.gz"
"216","E3","wt",51,1,"samp_51",1,313182.839037792,313182,"s51_S51_L001_R1_001.fastq.gz","s51_S51_L002_R1_001.fastq.gz"
"218","E4","IFNg",52,1,"samp_52",1,278314.819014812,278314,"s52_S52_L001_R1_001.fastq.gz","s52_S52_L002_R1_001.fastq.gz"
"224","E5","IL15",53,1,"samp_53",1,343475.438661892,343475,"s53_S53_L001_R1_001.fastq.gz","s53_S53_L002_R1_001.fastq.gz"
"226","E6","17",54,1,"samp_54",1,420937.994377367,420937,"s54_S54_L001_R1_001.fastq.gz","s54_S54_L002_R1_001.fastq.gz"
"232","E7","20",55,1,"samp_55",1,261167.365746214,261167,"s55_S55_L001_R1_001.fastq.gz","s55_S55_L002_R1_001.fastq.gz"
"238","E9","IL1a",57,1,"samp_57",1,331497.647292991,331497,"s57_S57_L001_R1_001.fastq.gz","s57_S57_L002_R1_001.fastq.gz"
"200","E10","rmIL1b",58,1,"samp_58",1,313786.231944083,313786,"s58_S58_L001_R1_001.fastq.gz","s58_S58_L002_R1_001.fastq.gz"
"244","F1","wt",61,1,"samp_61",1,341750.918734731,341750,"s61_S61_L001_R1_001.fastq.gz","s61_S61_L002_R1_001.fastq.gz"
"258","F2","wt",62,1,"samp_62",1,274151.709975558,274151,"s62_S62_L001_R1_001.fastq.gz","s62_S62_L002_R1_001.fastq.gz"
"262","F3","wt",63,1,"samp_63",1,275531.76771364,275531,"s63_S63_L001_R1_001.fastq.gz","s63_S63_L002_R1_001.fastq.gz"
"266","F4","wt",64,1,"samp_64",1,229793.391084115,229793,"s64_S64_L001_R1_001.fastq.gz","s64_S64_L002_R1_001.fastq.gz"
"272","F5","IL6",65,1,"samp_65",1,233377.841764445,233377,"s65_S65_L001_R1_001.fastq.gz","s65_S65_L002_R1_001.fastq.gz"
"273","F6","27",66,1,"samp_66",1,287473.476528343,287473,"s66_S66_L001_R1_001.fastq.gz","s66_S66_L002_R1_001.fastq.gz"
"278","F7","25",67,1,"samp_67",1,366301.724945473,366301,"s67_S67_L001_R1_001.fastq.gz","s67_S67_L002_R1_001.fastq.gz"
"282","F8","rmIL2b",68,1,"samp_68",1,429725.267226924,429725,"s68_S68_L001_R1_001.fastq.gz","s68_S68_L002_R1_001.fastq.gz"
"287","F9","21",69,1,"samp_69",1,260104.617265277,260104,"s69_S69_L001_R1_001.fastq.gz","s69_S69_L002_R1_001.fastq.gz"
"247","F10","22",70,1,"samp_70",1,209171.284349095,209171,"s70_S70_L001_R1_001.fastq.gz","s70_S70_L002_R1_001.fastq.gz"
"290","G1","wt",73,1,"samp_73",1,432377.772824953,432377,"s73_S73_L001_R1_001.fastq.gz","s73_S73_L002_R1_001.fastq.gz"
"305","G2","wt",74,1,"samp_74",1,156413.015600692,156413,"s74_S74_L001_R1_001.fastq.gz","s74_S74_L002_R1_001.fastq.gz"
"310","G3","wt",75,1,"samp_75",1,257874.267770536,257874,"s75_S75_L001_R1_001.fastq.gz","s75_S75_L002_R1_001.fastq.gz"
"320","G5","danazol",77,1,"samp_77",1,305488.206680215,305488,"s77_S77_L001_R1_001.fastq.gz","s77_S77_L002_R1_001.fastq.gz"
"323","G6","TSLP",78,1,"samp_78",1,219280.841220252,219280,"s78_S78_L001_R1_001.fastq.gz","s78_S78_L002_R1_001.fastq.gz"
"326","G7","mouse_TGFb1",79,1,"samp_79",1,324423.234362663,324423,"s79_S79_L001_R1_001.fastq.gz","s79_S79_L002_R1_001.fastq.gz"
"330","G8","rmTGFb",80,1,"samp_80",1,166816.105299149,166816,"s80_S80_L001_R1_001.fastq.gz","s80_S80_L002_R1_001.fastq.gz"
